admin1_name,season_yr,season_num,DER.sos,DER.eos,season_length_days,total_rain_mm
Baringo,2000,1,2000-06-19 12:00:00,2000-12-27 00:00:00,190,20900.6
Baringo,2001,1,2001-04-05 12:00:00,2002-02-05 00:00:00,305,150297.5
Baringo,2002,1,2002-04-05 00:00:00,2002-07-31 00:00:00,117,16329.000000000002
Baringo,2002,2,2002-11-04 00:00:00,2002-12-14 00:00:00,40,0.0
Baringo,2003,1,2002-12-14 00:00:00,2003-02-15 00:00:00,63,3839.2999999999993
Baringo,2003,2,2003-04-21 00:00:00,2003-10-12 00:00:00,174,44121.400000000016
Baringo,2003,4,2003-12-01 00:00:00,2004-01-28 12:00:00,58,1005.0
Baringo,2004,1,2004-04-01 00:00:00,2004-08-18 00:00:00,139,17324.0
Baringo,2004,2,2004-10-17 00:00:00,2004-12-26 00:00:00,70,7064.999999999998
Baringo,2005,1,2005-04-13 00:00:00,2005-11-02 00:00:00,203,69589.70000000003
Baringo,2006,1,2006-03-31 00:00:00,2006-09-30 00:00:00,183,26371.4
Baringo,2006,2,2006-11-06 00:00:00,2007-02-05 00:00:00,91,14252.099999999999
Baringo,2007,1,2007-04-23 00:00:00,2007-11-26 00:00:00,217,92083.40000000001
Baringo,2008,1,2008-03-31 00:00:00,2008-12-20 00:00:00,264,32879.200000000004
Baringo,2009,1,2009-04-22 00:00:00,2009-07-13 00:00:00,82,11897.399999999998
Baringo,2009,2,2009-10-20 00:00:00,2009-12-31 00:00:00,72,0.0
Baringo,2010,1,2009-12-31 00:00:00,2011-01-14 00:00:00,379,194769.30000000002
Baringo,2011,1,2011-05-14 00:00:00,2012-01-15 00:00:00,246,56227.20000000001
Baringo,2012,1,2012-04-18 00:00:00,2013-01-09 12:00:00,266,49214.700000000004
Baringo,2013,1,2013-03-25 00:00:00,2014-01-06 00:00:00,287,114076.40000000004
Baringo,2014,1,2014-05-21 00:00:00,2014-12-31 00:00:00,224,32000.299999999996
Baringo,2015,1,2015-04-13 00:00:00,2015-08-22 00:00:00,131,20306.2
Baringo,2015,2,2015-11-02 00:00:00,2016-01-25 00:00:00,84,17965.1
Baringo,2016,1,2016-04-12 00:00:00,2016-11-28 00:00:00,230,91147.10000000002
Baringo,2017,1,2017-05-19 12:00:00,2017-12-22 00:00:00,216,75616.50000000001
Baringo,2018,1,2018-03-17 00:00:00,2018-11-08 00:00:00,236,80072.30000000002
Baringo,2018,2,2018-11-19 00:00:00,2019-01-23 00:00:00,65,476.30000000000007
Baringo,2019,1,2019-05-25 00:00:00,2020-03-13 00:00:00,293,38521.1
Baringo,2020,1,2020-05-25 00:00:00,2020-12-15 00:00:00,204,35622.80000000001
Baringo,2021,1,2021-04-17 00:00:00,2021-11-23 00:00:00,220,43524.29999999999
Baringo,2022,1,2022-04-14 00:00:00,2022-11-14 00:00:00,214,30604.100000000002
Baringo,2023,1,2023-03-24 00:00:00,2023-08-13 00:00:00,142,21127.0
Baringo,2023,2,2023-10-02 12:00:00,2023-12-28 00:00:00,86,4338.999999999999
Baringo,2024,1,2024-04-06 00:00:00,2024-12-04 00:00:00,242,74964.9
Bomet,2000,1,2000-04-16 00:00:00,2000-08-18 00:00:00,124,3278.0000000000005
